Date,Open,High,Low,Close,Adj Close,Volume,Ticker,selic,oil_price,exchange_rate,ipca,bovespa
2020-05-07,17.75,17.8700008392334,17.350000381469727,17.440000534057617,6.205528259277344,81265100,PETR4.SA,0.011345,24.23,5.82872,0.25,78119.0
2020-05-08,17.739999771118164,18.579999923706055,17.709999084472656,18.479999542236328,6.575582981109619,83232700,PETR4.SA,0.011345,24.23,5.82872,0.25,80263.0
2020-05-11,18.299999237060547,18.93000030517578,18.110000610351562,18.149999618530273,6.458160877227783,65061500,PETR4.SA,0.011345,25.53,5.8171,0.25,79065.0
2020-05-12,18.530000686645508,18.829999923706055,18.1299991607666,18.139999389648438,6.4546027183532715,71837200,PETR4.SA,0.011345,26.67,5.8848,0.25,77872.0
2020-05-13,18.260000228881836,18.350000381469727,17.520000457763672,17.59000015258789,6.258901119232178,87222300,PETR4.SA,0.011345,27.89,5.8864,0.25,77772.0
2020-05-14,17.399999618530273,17.469999313354492,16.719999313354492,17.399999618530273,6.191295146942139,119653200,PETR4.SA,0.011345,29.87,5.8094,0.25,79011.0
2020-05-15,17.989999771118164,18.190000534057617,17.149999618530273,17.149999618530273,6.102339267730713,133733100,PETR4.SA,0.011345,30.95,5.8094,0.25,77557.0
2020-05-18,18.100000381469727,18.540000915527344,17.920000076293945,18.540000915527344,6.596930980682373,116999500,PETR4.SA,0.011345,33.3,5.719,0.25,81194.0
2020-05-19,18.510000228881836,18.93000030517578,18.40999984741211,18.68000030517578,6.646746635437012,80131600,PETR4.SA,0.011345,33.06,5.7552,0.25,80742.0
2020-05-20,19.09000015258789,19.440000534057617,19.059999465942383,19.299999237060547,6.867355823516846,74595100,PETR4.SA,0.011345,34.76,5.6905,0.25,81319.0
2020-05-21,19.5,19.770000457763672,19.06999969482422,19.190000534057617,6.828215599060059,81327000,PETR4.SA,0.011345,34.78,5.5524,0.25,83027.0
2020-05-22,18.799999237060547,18.899999618530273,18.350000381469727,18.670000076293945,6.643187522888184,71259400,PETR4.SA,0.011345,33.8,5.5524,0.25,82173.0
2020-05-25,19.479999542236328,19.559999465942383,19.260000228881836,19.479999542236328,6.931403636932373,38033000,PETR4.SA,0.011345,33.8,5.4434,0.25,85663.0
2020-05-26,19.979999542236328,20.09000015258789,19.329999923706055,19.670000076293945,6.999009609222412,68716900,PETR4.SA,0.011345,33.95,5.344,0.25,85469.0
2020-05-27,19.799999237060547,19.93000030517578,19.149999618530273,19.93000030517578,7.091522693634033,74790800,PETR4.SA,0.011345,32.73,5.2727,0.25,87946.0
